code,name,orgId
000935,四川双马,gssz0000935
000936,华西股份,gssz0000936
000937,冀中能源,gssz0000937
000938,紫光股份,gssz0000938
000939,凯迪退,gssz0000939
000948,南天信息,gssz0000948
000949,新乡化纤,gssz0000949
000950,重药控股,gssz0000950
000951,中国重汽,gssz0000951
000952,广济药业,gssz0000952
000953,河化股份,gssz0000953
000955,欣龙控股,gssz0000955
000956,中原油气,gssz0000956
000957,中通客车,gssz0000957
000958,电投产融,gssz0000958
000959,首钢股份,gssz0000959
000960,锡业股份,gssz0000960
000961,中南建设,gssz0000961
000962,东方钽业,gssz0000962
000963,华东医药,gssz0000963
000965,天保基建,gssz0000965
000966,长源电力,gssz0000966
000967,盈峰环境,gssz0000967
000968,蓝焰控股,gssz0000968
000969,安泰科技,gssz0000969
000970,中科三环,gssz0000970
000973,佛塑科技,gssz0000973
000975,银泰黄金,gssz0000975
000976,华铁股份,gssz0000976
000977,浪潮信息,gssz0000977
000978,桂林旅游,gssz0000978
000979,中弘退,gssz0000979
000980,众泰汽车,gssz0000980
000981,山子股份,gssz0000981
000982,中银绒业,gssz0000982
000983,山西焦煤,gssz0000983
000985,大庆华科,gssz0000985
000987,越秀资本,gssz0000987
000988,华工科技,gssz0000988
000989,九芝堂,gssz0000989
000990,诚志股份,gssz0000990
000993,闽东电力,gssz0000993
000996,中国中期,gssz0000996
000997,新大陆,gssz0000997
000998,隆平高科,gssz0000998
000999,华润三九,gssz0000999
001201,东瑞股份,9900036405
001202,炬申股份,gfbj0839749
001203,大中矿业,9900023231
001205,盛航股份,gfbj0832659
001206,依依股份,gfbj0870245
001207,联科科技,9900041710
001208,华菱线缆,9900023198
001209,洪兴股份,9900041427
001210,金房节能,9900035875
001211,双枪科技,9900041883
001212,中旗新材,nssc1000239
001213,中铁特货,nssc1000059
001215,千味央厨,9900041525
001216,华瓷股份,9900023696
001217,华尔泰,9900041548
001218,丽臣实业,9900024906
001219,青岛食品,gfbj0872387
001222,源飞宠物,9900052564
001223,欧克科技,9900048037
001226,拓山重工,9900052656
001227,兰州银行,9900021964
001228,永泰运,nssc1000083
001229,魅视科技,9900047621
001230,劲旅环境,nssc1000600
001231,农心科技,9900047224
001234,泰慕士,9900046655
001236,弘业期货,9900031747
001238,浙江正特,9900033230
001255,博菲电气,9900052533
001256,炜冈科技,9900053246
001258,立新能源,9900046967
001259,利仁科技,gfbj0838907
001266,宏英智能,9900048786
001267,汇绿生态,gssz0000765
001268,联合精密,nssc1000056
001269,欧晶科技,gfbj0836724
001270,铖昌科技,9900052541
001283,豪鹏科技,9900048773
001288,运机集团,9900041838
001289,龙源电力,9900009768
001296,长江材料,gfbj0833138
001298,好上好,9900047340
001299,美能能源,gfbj0838794
001300,三柏硕,9900048101
001301,尚太科技,9900047767
001308,康冠科技,nssc1000504
001309,德明利,nssc1000644
001313,粤海饲料,9900038396
001316,润贝航科,9900048764
001317,三羊马,gfbj0838107
001318,阳光乳业,9900041625
001319,铭科精技,9900047223
001322,箭牌家居,9900047305
001323,慕思股份,9900046964
001330,博纳影业,9900036065
001331,胜通能源,9900047217
001332,锡装股份,9900031494
001333,光华股份,nssc1000548
001336,楚环科技,9900052524
001338,永顺泰,9900048070
001339,智微智能,9900049006
001696,宗申动力,gssz0001696
001872,招商港口,gssz0000022
001896,豫能控股,gssz0001896
001914,招商积余,gssz0000043
001965,招商公路,GD008065
001979,招商蛇口,GD014107
002001,新和成,gssz0002001
002002,鸿达兴业,gssz0002002
002003,伟星股份,gssz0002003
002004,华邦健康,gssz0002004
002006,精功科技,gssz0002006
002007,华兰生物,gssz0002007
002008,大族激光,gssz0002008
002009,天奇股份,gssz0002009
002010,传化智联,gssz0002010
002011,盾安环境,gssz0002011
002012,凯恩股份,gssz0002012
002013,中航机电,gssz0002013
002014,永新股份,gssz0002014
002015,协鑫能科,gssz0002015
002016,世荣兆业,gssz0002016
002017,东信和平,gssz0002017
002018,华信退,gssz0002018
002019,亿帆医药,gssz0002019
002020,京新药业,gssz0002020
002023,海特高新,gssz0002023
002025,航天电器,gssz0002025
002026,山东威达,gssz0002026
002027,分众传媒,gssz0002027
002028,思源电气,gssz0002028
002029,七匹狼,gssz0002029
002030,达安基因,gssz0002030
002031,巨轮智能,gssz0002031
002032,苏泊尔,gssz0002032
002033,丽江股份,gssz0002033
002034,旺能环境,gssz0002034
002035,华帝股份,gssz0002035
